UserID,Age,Email,Pays,Produit,Catégorie,Prix,DateAchat
CUST0050,-1,user50@gmail.com,Canada,PRD019,Sport,60.12,2023-01-21
CUST0051,60,user51@gmail.com,USA,PRD006,Alimentation,10.05,
CUST0052,69,user52@gmail.com,Canada,PRD002,Sport,-10.0,2023-02-07
CUST0053,66,user53@hotmail.com,Canada,PRD017,Électronique,49.73,2023-10-03
CUST0054,50,user54@hotmail.com,USA,PRD026,Sport,22.61,2023-06-06
CUST0055,68,user55@,Belgique,PRD009,Alimentation,40.52,2023-06-28
CUST0056,22,user56@gmail.com,France,PRD006,Sport,23.11,2023-05-12
CUST0057,28,user57@,France,PRD016,Mode,42.6,
CUST0058,20,user58@,,PRD013,Mode,43.27,2023-01-28
CUST0059,35,user59@,Canada,PRD023,Alimentation,57.04,2023-09-17
CUST0060,39,user60@yaho.com,,PRD002,Électronique,48.16,2023-03-17
CUST0061,32,user61@gmail.com,France,PRD011,Électronique,60.06,2023-03-08
CUST0062,63,user62@gmail.com,France,PRD027,Maison,57.67,2023-07-13
CUST0063,37,user63@yaho.com,France,PRD012,Alimentation,70.63,2023-06-11
CUST0064,33,user64@yaho.com,Belgique,PRD001,Sport,67.48,2023-09-14
CUST0065,47,user65@gmail.com,Canada,PRD002,Alimentation,65.36,2023-03-13
CUST0066,25,user66@yaho.com,Belgique,PRD004,Maison,112.1,2023-03-28
CUST0067,61,user67@,Belgique,PRD010,Alimentation,56.95,2023-09-19
CUST0068,22,user68@hotmail.com,USA,PRD007,Alimentation,101.87,2023-08-02
CUST0069,200,user69@,Belgique,PRD025,Maison,58.24,2023-06-02
CUST0070,60,user70@gmail.com,Canada,PRD022,Électronique,48.34,2023-07-29
CUST0071,28,user71@yaho.com,,PRD022,Sport,42.54,2023-03-02
CUST0072,18,user72@hotmail.com,Belgique,PRD011,Maison,80.19,2023-09-25
CUST0073,62,user73@gmail.com,Canada,PRD006,Mode,82.81,2023-09-19
CUST0074,56,user74@yaho.com,USA,PRD014,Électronique,62.0,2023-08-06
CUST0075,57,user75@hotmail.com,USA,PRD023,Mode,72.67,2023-10-10
CUST0076,60,user76@hotmail.com,France,PRD016,Électronique,24.46,2023-05-16
CUST0077,22,user77@yaho.com,USA,PRD003,Sport,19.02,2023-04-03
CUST0078,37,user78@hotmail.com,Belgique,PRD028,Sport,74.93,2023-04-19
CUST0079,24,user79@gmail.com,France,PRD021,Alimentation,47.46,2023-08-29
CUST0080,65,user80@yaho.com,Belgique,PRD024,Mode,64.99,2023-05-22
CUST0081,52,user81@,USA,PRD012,Électronique,35.65,2023-10-18
CUST0082,36,user82@gmail.com,Belgique,PRD017,Sport,83.14,2023-08-25
CUST0083,21,user83@gmail.com,Belgique,PRD000,Maison,19.19,
CUST0084,35,user84@yaho.com,Canada,PRD015,Sport,22.29,2023-06-26
CUST0085,35,user85@yaho.com,France,PRD012,Maison,78.89,2023-05-21
CUST0086,57,user86@hotmail.com,France,PRD009,Électronique,-2.2,2023-07-08
CUST0087,52,user87@gmail.com,France,PRD011,Sport,57.57,2023-02-18
CUST0088,66,user88@hotmail.com,France,PRD029,Sport,47.85,
CUST0089,43,user89@gmail.com,France,PRD001,Électronique,35.28,2023-07-09
CUST0090,24,user90@gmail.com,France,PRD022,Sport,46.0,2023-05-16
CUST0091,57,user91@,Canada,PRD002,Maison,33.05,2023-02-12
CUST0092,59,user92@gmail.com,France,PRD009,Sport,80.85,2023-03-31
CUST0093,48,user93@hotmail.com,Belgique,PRD001,Mode,86.09,2023-10-22
CUST0094,60,user94@hotmail.com,USA,PRD029,Alimentation,36.29,2023-09-02
CUST0095,45,user95@,Belgique,PRD026,Maison,55.51,2023-07-11
CUST0096,46,user96@hotmail.com,Canada,PRD022,Mode,23.5,
CUST0097,41,user97@yaho.com,France,PRD012,Électronique,71.46,2023-04-16
CUST0098,19,user98@,France,PRD012,Maison,70.94,
CUST0099,23,user99@hotmail.com,France,PRD017,Alimentation,44.09,2023-08-21
CUST0100,19,user100@hotmail.com,France,PRD002,Alimentation,50.34,2023-09-22
CUST0101,52,user101@yaho.com,France,PRD026,Électronique,48.12,2023-02-06
CUST0102,35,user102@,France,PRD006,Électronique,17.63,
CUST0103,45,user103@yaho.com,France,PRD013,Maison,80.92,2023-02-10
CUST0104,67,user104@,France,PRD019,Sport,-10.0,2023-01-17
CUST0105,31,user105@,Belgique,PRD028,Électronique,34.8,2023-10-04
CUST0106,40,user106@gmail.com,France,PRD029,Sport,46.99,
CUST0107,59,user107@hotmail.com,Belgique,PRD016,Mode,69.91,2023-02-28
CUST0108,30,user108@hotmail.com,Canada,PRD028,Alimentation,38.17,2023-07-02
CUST0109,22,user109@gmail.com,Canada,PRD029,Sport,10.96,2023-02-10
CUST0110,33,user110@yaho.com,France,PRD020,Alimentation,32.26,2023-02-08
CUST0111,26,user111@gmail.com,,PRD011,Sport,58.48,2023-07-11
CUST0112,68,user112@hotmail.com,Canada,PRD024,Mode,93.8,2023-09-24
CUST0113,62,user113@hotmail.com,France,PRD015,Électronique,24.8,2023-05-27
CUST0114,52,user114@gmail.com,USA,PRD023,Mode,24.07,2023-05-07
CUST0115,65,user115@gmail.com,USA,PRD011,Électronique,19.75,2023-02-15
CUST0116,61,user116@gmail.com,France,PRD014,Électronique,17.27,2023-02-14
CUST0117,28,user117@hotmail.com,France,PRD024,Alimentation,74.11,2023-01-01
CUST0118,66,user118@gmail.com,USA,PRD009,Mode,79.89,2023-06-17
CUST0119,47,user119@gmail.com,,PRD029,Sport,53.56,2023-04-18
CUST0120,62,user120@yaho.com,France,PRD024,Mode,40.65,2023-01-19
CUST0121,67,user121@gmail.com,France,PRD006,Alimentation,85.82,2023-03-13
CUST0122,35,user122@hotmail.com,Belgique,PRD019,Électronique,53.48,2023-04-19
CUST0123,24,user123@yaho.com,Belgique,PRD004,Alimentation,71.79,2023-09-25
CUST0124,30,user124@,Canada,PRD000,Maison,39.67,2023-08-28
CUST0125,41,user125@hotmail.com,Belgique,PRD029,Maison,50.88,
CUST0126,62,user126@hotmail.com,Belgique,PRD016,Sport,25.25,2023-03-31
CUST0127,65,user127@,,PRD002,Alimentation,62.58,2023-04-13
CUST0128,18,user128@hotmail.com,France,PRD012,Sport,53.82,2023-09-07
CUST0129,45,user129@,France,PRD013,Sport,32.11,2023-01-08
CUST0130,40,user130@,,PRD023,Maison,32.38,2023-06-02
CUST0131,30,user131@hotmail.com,USA,PRD029,Sport,82.32,2023-06-23
CUST0132,24,user132@gmail.com,Canada,PRD017,Maison,89.43,2023-06-07
CUST0133,36,user133@gmail.com,Canada,PRD003,Électronique,45.74,2023-08-03
CUST0134,69,user134@,France,PRD017,Alimentation,51.36,2023-06-26
CUST0135,35,user135@yaho.com,Belgique,PRD029,Sport,58.0,2023-06-24
CUST0136,46,user136@,Canada,PRD004,Maison,52.96,2023-05-26
CUST0137,56,user137@,France,PRD024,Mode,16.51,2023-06-10
CUST0138,37,user138@,France,PRD015,Sport,58.56,2023-05-07
CUST0139,-1,user139@gmail.com,Belgique,PRD000,Électronique,8.24,2023-03-23
CUST0140,-1,user140@gmail.com,France,PRD020,Électronique,35.35,2023-05-27
CUST0141,31,user141@gmail.com,Belgique,PRD013,Mode,60.11,2023-08-27
CUST0142,45,user142@,France,PRD014,Maison,62.0,2023-03-25
CUST0143,34,user143@yaho.com,Belgique,PRD008,Sport,33.8,2023-04-23
CUST0144,33,user144@gmail.com,France,PRD014,Maison,40.83,2023-08-13
CUST0145,20,user145@hotmail.com,USA,PRD016,Électronique,38.12,2023-08-31
CUST0146,51,user146@hotmail.com,Canada,PRD024,Maison,47.94,2023-05-23
CUST0147,45,user147@hotmail.com,Canada,PRD023,Électronique,49.46,2023-02-10
CUST0148,20,user148@,,PRD003,Maison,63.37,2023-09-15
CUST0149,33,user149@hotmail.com,Belgique,PRD011,Mode,-10.0,2023-10-12
CUST0150,67,user150@,France,PRD026,Alimentation,57.47,2023-04-15
CUST0151,31,user151@hotmail.com,Canada,PRD025,Mode,60.14,2023-07-21
CUST0152,25,user152@yaho.com,Canada,PRD004,Mode,53.97,
CUST0153,44,user153@,,PRD028,Alimentation,44.81,2023-09-23
CUST0154,200,user154@hotmail.com,Belgique,PRD004,Alimentation,53.61,2023-07-29
CUST0155,31,user155@gmail.com,France,PRD010,Sport,65.03,2023-02-20
CUST0156,54,user156@,France,PRD027,Sport,66.78,2023-04-28
CUST0157,59,user157@gmail.com,Belgique,PRD005,Mode,86.31,2023-07-20
CUST0158,31,user158@gmail.com,Canada,PRD006,Mode,30.2,2023-02-08
CUST0159,57,user159@gmail.com,Canada,PRD023,Électronique,41.2,2023-01-28
CUST0160,38,user160@gmail.com,Belgique,PRD013,Électronique,17.73,2023-09-16
CUST0161,52,user161@hotmail.com,USA,PRD023,Sport,68.62,2023-03-25
CUST0162,52,user162@hotmail.com,Canada,PRD010,Sport,43.31,2023-06-04
CUST0163,47,user163@,France,PRD029,Électronique,54.12,2023-04-27
CUST0164,22,user164@,France,PRD012,Électronique,37.91,2023-01-02
CUST0165,63,user165@,France,PRD001,Maison,43.47,2023-04-03
CUST0166,35,user166@hotmail.com,France,PRD024,Maison,74.46,2023-06-15
CUST0167,28,user167@,France,PRD006,Électronique,63.88,2023-10-23
CUST0168,20,user168@gmail.com,France,PRD019,Maison,47.77,2023-09-15
CUST0169,50,user169@hotmail.com,France,PRD003,Alimentation,65.36,2023-03-22
CUST0170,55,user170@,France,PRD026,Sport,65.8,2023-09-25
CUST0171,18,user171@gmail.com,USA,PRD007,Sport,-10.0,2023-08-23
CUST0172,46,user172@,France,PRD019,Électronique,20.62,
CUST0173,30,user173@yaho.com,Canada,PRD028,Mode,32.02,
CUST0174,53,user174@,Belgique,PRD021,Électronique,23.19,2023-08-01
CUST0175,27,user175@yaho.com,USA,PRD020,Maison,73.29,2023-03-03
CUST0176,55,user176@,France,PRD018,Mode,76.76,2023-02-18
CUST0177,39,user177@,Belgique,PRD012,Maison,81.73,2023-05-07
CUST0178,69,user178@hotmail.com,USA,PRD013,Alimentation,9.61,2023-08-11
CUST0179,25,user179@hotmail.com,USA,PRD009,Maison,71.43,2023-10-06
CUST0180,36,user180@yaho.com,USA,PRD010,Alimentation,94.24,2023-10-21
CUST0181,24,user181@hotmail.com,France,PRD001,Alimentation,72.24,2023-10-11
CUST0182,68,user182@gmail.com,France,PRD024,Maison,6.98,2023-10-04
CUST0183,66,user183@gmail.com,Canada,PRD025,Maison,85.37,2023-04-17
CUST0184,32,user184@yaho.com,USA,PRD008,Alimentation,50.83,2023-05-26
CUST0185,54,user185@gmail.com,Canada,PRD016,Mode,45.35,2023-04-09
CUST0186,62,user186@gmail.com,Canada,PRD025,Alimentation,59.02,2023-03-14
CUST0187,48,user187@,France,PRD002,Sport,29.02,2023-05-02
CUST0188,46,user188@hotmail.com,,PRD023,Alimentation,50.06,2023-01-30
CUST0189,31,user189@gmail.com,France,PRD005,Mode,82.41,2023-07-07
CUST0190,23,user190@gmail.com,Belgique,PRD004,Sport,62.45,2023-10-15
CUST0191,67,user191@hotmail.com,Belgique,PRD004,Électronique,51.17,2023-07-14
CUST0192,67,user192@gmail.com,Canada,PRD021,Électronique,51.79,2023-06-05
CUST0193,52,user193@gmail.com,France,PRD014,Mode,26.37,2023-06-21
CUST0194,36,user194@hotmail.com,France,PRD022,Alimentation,-10.0,2023-02-10
CUST0195,37,user195@,Canada,PRD016,Maison,17.31,2023-03-04
CUST0196,57,user196@gmail.com,France,PRD008,Mode,70.45,2023-01-23
CUST0197,67,user197@hotmail.com,Canada,PRD002,Sport,6.29,2023-03-16
CUST0198,66,user198@gmail.com,France,PRD019,Sport,67.1,2023-02-17
CUST0199,60,user199@gmail.com,Belgique,PRD025,Électronique,69.59,2023-06-09
CUST0200,53,user200@,Canada,PRD016,Sport,76.38,
CUST0201,22,user201@yaho.com,France,PRD028,Mode,51.74,2023-04-28
CUST0202,26,user202@yaho.com,Belgique,PRD026,Sport,68.33,2023-04-10
CUST0203,67,user203@hotmail.com,France,PRD009,Mode,46.81,2023-06-16
CUST0204,51,user204@yaho.com,France,PRD002,Maison,26.27,2023-10-17
CUST0205,18,user205@hotmail.com,USA,PRD017,Électronique,80.61,2023-06-05
CUST0206,23,user206@yaho.com,Belgique,PRD017,Sport,48.06,2023-01-07
CUST0207,54,user207@,USA,PRD029,Mode,-10.0,2023-07-15
CUST0208,18,user208@hotmail.com,France,PRD016,Alimentation,40.66,2023-02-25
CUST0209,26,user209@yaho.com,Canada,PRD023,Électronique,41.45,2023-07-12
CUST0210,48,user210@,,PRD002,Maison,59.23,2023-02-16
CUST0211,55,user211@yaho.com,Canada,PRD002,Mode,96.94,2023-05-28
CUST0212,53,user212@gmail.com,Belgique,PRD005,Maison,60.45,2023-10-02
CUST0213,30,user213@gmail.com,Belgique,PRD012,Maison,54.14,2023-06-06
CUST0214,56,user214@,Belgique,PRD023,Sport,-10.0,2023-07-21
CUST0215,30,user215@gmail.com,USA,PRD028,Sport,69.58,2023-05-06
CUST0216,35,user216@gmail.com,USA,PRD014,Mode,55.08,
CUST0217,58,user217@hotmail.com,USA,PRD024,Alimentation,40.41,2023-10-21
CUST0218,53,user218@yaho.com,France,PRD008,Mode,56.32,2023-03-05
CUST0219,64,user219@hotmail.com,,PRD003,Alimentation,48.67,2023-06-25
CUST0220,53,user220@yaho.com,USA,PRD013,Maison,51.83,2023-04-26
CUST0221,49,user221@gmail.com,France,PRD004,Électronique,-10.0,2023-07-23
CUST0222,23,user222@hotmail.com,France,PRD001,Mode,39.19,2023-01-31
CUST0223,38,user223@yaho.com,,PRD010,Mode,60.27,2023-04-23
CUST0224,32,user224@yaho.com,Canada,PRD008,Alimentation,68.98,2023-03-08
CUST0225,31,user225@hotmail.com,USA,PRD023,Maison,36.76,2023-03-16
CUST0226,-1,user226@,France,PRD002,Maison,33.55,2023-02-14
CUST0227,39,user227@yaho.com,,PRD026,Alimentation,46.99,2023-09-17
CUST0228,66,user228@gmail.com,France,PRD027,Maison,40.77,2023-06-03
CUST0229,52,user229@yaho.com,France,PRD028,Sport,73.05,2023-06-04
CUST0230,61,user230@gmail.com,France,PRD008,Électronique,29.96,2023-08-22
CUST0231,45,user231@hotmail.com,USA,PRD002,Mode,51.37,2023-02-20
CUST0232,49,user232@yaho.com,Canada,PRD024,Électronique,100.92,
CUST0233,44,user233@gmail.com,Canada,PRD001,Mode,58.26,2023-09-19
CUST0234,28,user234@gmail.com,Belgique,PRD011,Sport,61.59,
CUST0235,57,user235@hotmail.com,USA,PRD009,Maison,73.21,2023-05-05
CUST0236,33,user236@yaho.com,Belgique,PRD008,Alimentation,40.74,2023-09-02
CUST0237,19,user237@yaho.com,USA,PRD014,Sport,28.37,2023-01-30
CUST0238,53,user238@hotmail.com,Belgique,PRD007,Électronique,53.53,2023-05-02
CUST0239,27,user239@yaho.com,Belgique,PRD024,Alimentation,55.31,2023-05-05
CUST0240,69,user240@hotmail.com,Belgique,PRD004,Maison,17.64,2023-02-06
CUST0241,-1,user241@yaho.com,Belgique,PRD010,Sport,57.5,2023-06-19
CUST0242,68,user242@,,PRD026,Alimentation,71.4,2023-05-04
CUST0243,38,user243@yaho.com,Canada,PRD001,Sport,31.74,2023-02-04
CUST0244,18,user244@gmail.com,France,PRD023,Sport,58.71,2023-03-28
CUST0245,68,user245@gmail.com,USA,PRD027,Maison,67.85,2023-05-14
CUST0246,41,user246@,Belgique,PRD014,Mode,61.73,2023-07-15
CUST0247,-1,user247@yaho.com,Canada,PRD005,Alimentation,63.62,2023-10-01
CUST0248,-1,user248@gmail.com,USA,PRD007,Maison,45.1,2023-07-20
CUST0249,64,user249@gmail.com,Canada,PRD026,Sport,27.45,2023-10-12
CUST0250,34,user250@yaho.com,France,PRD004,Maison,41.06,2023-03-18
CUST0251,39,user251@hotmail.com,USA,PRD015,Mode,38.28,2023-02-28
CUST0252,64,user252@yaho.com,Canada,PRD025,Alimentation,-10.0,2023-05-06
CUST0253,35,user253@hotmail.com,Belgique,PRD017,Mode,71.87,2023-04-19
CUST0254,27,user254@,France,PRD005,Électronique,23.76,2023-08-12
CUST0255,48,user255@,,PRD004,Alimentation,52.89,2023-10-05
CUST0256,69,user256@gmail.com,Canada,PRD027,Mode,28.73,2023-03-09
CUST0257,56,user257@gmail.com,Canada,PRD015,Sport,35.2,2023-03-10
CUST0258,49,user258@gmail.com,USA,PRD012,Alimentation,61.17,2023-06-14
CUST0259,23,user259@hotmail.com,,PRD027,Alimentation,26.2,
CUST0260,51,user260@gmail.com,France,PRD004,Maison,64.68,2023-06-11
CUST0261,200,user261@yaho.com,Belgique,PRD012,Sport,22.96,
CUST0262,25,user262@hotmail.com,France,PRD016,Électronique,63.34,2023-02-11
CUST0263,46,user263@,,PRD017,Mode,19.01,2023-04-19
CUST0264,66,user264@hotmail.com,France,PRD007,Maison,-10.0,2023-02-20
CUST0265,58,user265@gmail.com,Canada,PRD012,Mode,87.93,2023-09-07
CUST0266,56,user266@yaho.com,,PRD029,Électronique,84.17,2023-01-21
CUST0267,56,user267@yaho.com,USA,PRD028,Électronique,41.75,2023-10-27
CUST0268,37,user268@gmail.com,Belgique,PRD018,Alimentation,57.8,2023-05-19
CUST0269,34,user269@yaho.com,USA,PRD025,Électronique,74.08,2023-04-02
CUST0270,62,user270@hotmail.com,France,PRD002,Mode,63.63,2023-10-07
CUST0271,62,user271@hotmail.com,USA,PRD023,Sport,44.53,2023-05-05
CUST0272,65,user272@gmail.com,France,PRD007,Sport,35.03,2023-04-21
CUST0273,67,user273@yaho.com,Belgique,PRD001,Alimentation,67.36,2023-05-19
CUST0274,45,user274@,,PRD007,Mode,72.61,2023-09-30
CUST0275,45,user275@hotmail.com,France,PRD026,Mode,84.31,2023-04-09
CUST0276,61,user276@hotmail.com,France,PRD012,Électronique,16.26,2023-09-09
CUST0277,53,user277@hotmail.com,,PRD012,Mode,24.94,2023-04-14
CUST0278,56,user278@hotmail.com,,PRD000,Maison,73.24,2023-08-02
CUST0279,61,user279@,Canada,PRD005,Électronique,18.97,2023-09-06
CUST0280,66,user280@gmail.com,Canada,PRD023,Maison,74.77,2023-06-01
CUST0281,36,user281@hotmail.com,Canada,PRD018,Alimentation,45.7,2023-09-07
CUST0282,38,user282@yaho.com,France,PRD015,Sport,-10.0,2023-10-02
CUST0283,23,user283@,Belgique,PRD007,Alimentation,54.11,2023-06-14
CUST0284,49,user284@hotmail.com,France,PRD027,Sport,23.09,2023-01-08
CUST0285,19,user285@yaho.com,USA,PRD000,Alimentation,66.48,2023-10-11
CUST0286,43,user286@hotmail.com,Canada,PRD026,Mode,83.79,2023-01-05
CUST0287,47,user287@gmail.com,Belgique,PRD026,Maison,67.41,2023-05-25
CUST0288,33,user288@,Belgique,PRD015,Sport,45.07,2023-04-11
CUST0289,50,user289@gmail.com,USA,PRD008,Électronique,19.24,2023-06-13
CUST0290,19,user290@,France,PRD012,Maison,20.01,2023-05-27
CUST0291,20,user291@hotmail.com,Canada,PRD010,Électronique,23.41,2023-03-05
CUST0292,63,user292@hotmail.com,Canada,PRD012,Maison,49.75,2023-04-01
CUST0293,37,user293@,Canada,PRD024,Maison,52.27,2023-04-27
CUST0294,24,user294@yaho.com,France,PRD020,Alimentation,67.37,2023-09-24
CUST0295,46,user295@yaho.com,USA,PRD009,Sport,14.08,
CUST0296,60,user296@hotmail.com,USA,PRD003,Sport,76.22,2023-06-22
CUST0297,29,user297@hotmail.com,Canada,PRD026,Maison,-10.0,2023-02-16
CUST0298,52,user298@gmail.com,Canada,PRD005,Mode,43.46,2023-05-20
CUST0299,22,user299@hotmail.com,USA,PRD027,Mode,26.2,2023-09-03
CUST0300,20,user300@,,PRD006,Électronique,74.98,2023-05-29
CUST0301,47,user301@yaho.com,France,PRD004,Électronique,44.0,2023-09-03
CUST0302,47,user302@yaho.com,Canada,PRD010,Alimentation,49.6,2023-01-05
CUST0303,52,user303@gmail.com,Canada,PRD012,Maison,57.67,2023-07-03
CUST0304,57,user304@yaho.com,Belgique,PRD025,Électronique,31.74,2023-01-20
CUST0305,200,user305@yaho.com,,PRD024,Électronique,44.36,2023-02-15
CUST0306,46,user306@,USA,PRD018,Maison,67.31,2023-01-12
CUST0307,35,user307@yaho.com,USA,PRD022,Alimentation,65.28,2023-03-11
CUST0308,61,user308@gmail.com,Belgique,PRD009,Électronique,65.46,2023-01-17
CUST0309,32,user309@gmail.com,France,PRD009,Alimentation,26.9,2023-05-27
CUST0310,42,user310@yaho.com,USA,PRD010,Sport,45.27,2023-06-03
CUST0311,22,user311@hotmail.com,USA,PRD020,Alimentation,42.07,
CUST0312,19,user312@yaho.com,France,PRD029,Mode,58.5,2023-04-18
CUST0313,-1,user313@gmail.com,USA,PRD006,Mode,56.71,2023-08-24
CUST0314,63,user314@gmail.com,USA,PRD017,Alimentation,53.11,
CUST0315,56,user315@,Canada,PRD003,Mode,99.31,2023-03-11
CUST0316,40,user316@yaho.com,Canada,PRD001,Sport,44.18,2023-07-02
CUST0317,27,user317@yaho.com,Belgique,PRD013,Maison,41.84,2023-09-07
CUST0318,26,user318@,France,PRD012,Mode,26.87,2023-08-16
CUST0319,31,user319@gmail.com,Belgique,PRD028,Mode,19.24,2023-04-12
CUST0320,48,user320@,USA,PRD011,Alimentation,25.59,2023-03-16
CUST0321,57,user321@hotmail.com,France,PRD006,Sport,35.63,2023-08-04
CUST0322,54,user322@yaho.com,Belgique,PRD001,Maison,76.2,2023-07-22
CUST0323,33,user323@gmail.com,Belgique,PRD012,Alimentation,50.78,2023-07-11
CUST0324,-1,user324@,Canada,PRD013,Alimentation,53.87,2023-09-06
CUST0325,58,user325@gmail.com,USA,PRD026,Sport,48.07,2023-08-30
CUST0326,48,user326@hotmail.com,Belgique,PRD016,Maison,57.31,2023-06-28
CUST0327,51,user327@yaho.com,Belgique,PRD008,Sport,78.04,2023-08-07
CUST0328,40,user328@,,PRD016,Maison,10.12,2023-03-23
CUST0329,31,user329@gmail.com,Belgique,PRD007,Sport,74.37,2023-04-02
CUST0330,37,user330@yaho.com,France,PRD001,Alimentation,-0.3,2023-06-24
CUST0331,59,user331@yaho.com,Belgique,PRD027,Alimentation,-10.0,2023-08-27
CUST0332,18,user332@gmail.com,France,PRD023,Électronique,93.84,2023-09-17
CUST0333,24,user333@yaho.com,France,PRD012,Mode,63.61,2023-06-12
CUST0334,20,user334@yaho.com,Belgique,PRD002,Sport,57.46,2023-02-17
CUST0335,20,user335@,Belgique,PRD015,Électronique,90.04,2023-04-26
CUST0336,64,user336@yaho.com,USA,PRD005,Mode,35.94,2023-08-13
CUST0337,56,user337@,Belgique,PRD018,Sport,58.68,2023-05-27
CUST0338,43,user338@yaho.com,Canada,PRD029,Maison,61.56,2023-03-04
CUST0339,23,user339@hotmail.com,Canada,PRD006,Mode,39.55,2023-10-21
CUST0340,44,user340@hotmail.com,France,PRD009,Alimentation,41.32,2023-01-13
CUST0341,43,user341@,Canada,PRD008,Électronique,39.12,2023-07-08
CUST0342,27,user342@,France,PRD001,Mode,51.75,2023-10-14
CUST0343,41,user343@hotmail.com,USA,PRD027,Mode,60.93,2023-07-27
CUST0344,39,user344@yaho.com,France,PRD027,Alimentation,52.46,2023-04-24
CUST0345,51,user345@,Belgique,PRD014,Sport,64.19,2023-01-22
CUST0346,52,user346@gmail.com,France,PRD029,Maison,10.62,2023-08-02
CUST0347,20,user347@yaho.com,USA,PRD004,Alimentation,45.63,2023-06-20
CUST0348,38,user348@yaho.com,Canada,PRD028,Maison,29.53,2023-02-23
CUST0349,52,user349@hotmail.com,Canada,PRD021,Sport,56.03,2023-10-25
CUST0350,45,user350@,France,PRD003,Mode,55.74,
CUST0351,64,user351@yaho.com,,PRD019,Maison,47.69,2023-05-06
